DATE,CPIAUCSL_PC1
2005-02-01,3.05303
2005-03-01,3.20684
2005-04-01,3.36179
2005-05-01,2.86929
2005-06-01,2.54103
2005-07-01,3.06716
2005-08-01,3.64693
2005-09-01,4.74183
2005-10-01,4.35010
2005-11-01,3.33855
2005-12-01,3.33855
2006-01-01,4.01879
2006-02-01,3.63825
2006-03-01,3.41792
2006-04-01,3.61384
2006-05-01,3.97727
2006-06-01,4.18172
2006-07-01,4.10467
2006-08-01,3.92657
2006-09-01,2.01207
2006-10-01,1.40633
2006-11-01,1.96870
2006-12-01,2.52398
2007-01-01,2.07577
2007-02-01,2.42026
2007-03-01,2.79820
2007-04-01,2.59292
2007-05-01,2.70989
2007-06-01,2.69277
2007-07-01,2.31789
2007-08-01,1.89745
2007-09-01,2.83383
2007-10-01,3.61070
2007-11-01,4.37327
2007-12-01,4.10881
2008-01-01,4.29470
2008-02-01,4.14296
2008-03-01,3.97490
2008-04-01,3.90376
2008-05-01,4.08841
2008-06-01,4.93597
2008-07-01,5.49751
2008-08-01,5.30802
2008-09-01,4.95332
2008-10-01,3.73106
2008-11-01,1.09992
2008-12-01,-0.02223
2009-01-01,-0.11359
2009-02-01,0.00846
2009-03-01,-0.44648
2009-04-01,-0.57632
2009-05-01,-1.01576
2009-06-01,-1.22917
2009-07-01,-1.95876
2009-08-01,-1.48384
2009-09-01,-1.37794
2009-10-01,-0.22397
2009-11-01,1.91459
2009-12-01,2.81412
2010-01-01,2.62111
2010-02-01,2.15134
2010-03-01,2.28617
2010-04-01,2.20677
2010-05-01,2.00355
2010-06-01,1.12156
2010-07-01,1.34078
2010-08-01,1.15018
2010-09-01,1.11831
2010-10-01,1.16670
2010-11-01,1.08454
2010-12-01,1.43779
2011-01-01,1.70078
2011-02-01,2.12490
2011-03-01,2.61924
2011-04-01,3.07723
2011-05-01,3.45897
2011-06-01,3.50232
2011-07-01,3.57988
2011-08-01,3.75500
2011-09-01,3.81262
2011-10-01,3.52227
2011-11-01,3.45143
2011-12-01,3.06207
2012-01-01,3.00877
2012-02-01,2.89818
2012-03-01,2.58288
2012-04-01,2.27316
2012-05-01,1.73794
2012-06-01,1.65387
2012-07-01,1.41751
2012-08-01,1.68593
2012-09-01,1.94972
2012-10-01,2.15568
2012-11-01,1.79602
2012-12-01,1.75950
2013-01-01,1.68406
2013-02-01,2.01814
2013-03-01,1.51875
2013-04-01,1.13881
2013-05-01,1.39039
2013-06-01,1.71579
2013-07-01,1.88547
2013-08-01,1.53881
2013-09-01,1.09473
2013-10-01,0.87680
2013-11-01,1.23287
2013-12-01,1.51284
2014-01-01,1.55776
2014-02-01,1.12047
2014-03-01,1.61269
2014-04-01,2.01513
2014-05-01,2.16695
2014-06-01,2.05898
2014-07-01,1.97424
2014-08-01,1.71510
2014-09-01,1.68405
2014-10-01,1.60954
2014-11-01,1.23152
2014-12-01,0.65312
2015-01-01,-0.22993
2015-02-01,-0.08703
2015-03-01,-0.02203
2015-04-01,-0.10403
2015-05-01,0.03503
2015-06-01,0.17957
2015-07-01,0.22569
2015-08-01,0.24130
2015-09-01,0.00884
2015-10-01,0.12762
2015-11-01,0.43632
