DATE,BOGMBASE
1978-05-01,132300.0
1978-06-01,133600.0
1978-07-01,135700.0
1978-08-01,135200.0
1978-09-01,136200.0
1978-10-01,137600.0
1978-11-01,140700.0
1978-12-01,144700.0
1979-01-01,144300.0
1979-02-01,141600.0
1979-03-01,142300.0
1979-04-01,144400.0
1979-05-01,144500.0
1979-06-01,145900.0
1979-07-01,148100.0
1979-08-01,148600.0
1979-09-01,149600.0
1979-10-01,151500.0
1979-11-01,153800.0
1979-12-01,156700.0
1980-01-01,156000.0
1980-02-01,153900.0
1980-03-01,155000.0
1980-04-01,157900.0
1980-05-01,157900.0
1980-06-01,158900.0
1980-07-01,159900.0
1980-08-01,158400.0
1980-09-01,159400.0
1980-10-01,160900.0
1980-11-01,162000.0
1980-12-01,163400.0
1981-01-01,161100.0
1981-02-01,159000.0
1981-03-01,159800.0
1981-04-01,162400.0
1981-05-01,163200
1981-06-01,163900.0
1981-07-01,166000.0
1981-08-01,166100.0
1981-09-01,164700.0
1981-10-01,165000.0
1981-11-01,167200.0
1981-12-01,170700.0
1982-01-01,169800.0
1982-02-01,167500.0
1982-03-01,166200.0
1982-04-01,168700.0
1982-05-01,170000.0
1982-06-01,171700.0
1982-07-01,173400.0
1982-08-01,174000.0
1982-09-01,173400.0
1982-10-01,175000.0
1982-11-01,177500.0
1982-12-01,180700.0
1983-01-01,178900.0
1983-02-01,177000.0
1983-03-01,177300.0
1983-04-01,180000.0
1983-05-01,181400.0
1983-06-01,183300.0
1983-07-01,185300.0
1983-08-01,185400.0
1983-09-01,184900.0
1983-10-01,186400.0
1983-11-01,189100.0
1983-12-01,192200.0
1984-01-01,191300.0
1984-02-01,186800.0
1984-03-01,189100.0
1984-04-01,192200.0
1984-05-01,192800.0
1984-06-01,195700.0
1984-07-01,197500.0
1984-08-01,196700.0
1984-09-01,197900.0
1984-10-01,198100.0
1984-11-01,200600.0
1984-12-01,204800.0
1985-01-01,203200.0
1985-02-01,200200.0
1985-03-01,202700.0
1985-04-01,205500.0
1985-05-01,206700.0
1985-06-01,210200.0
1985-07-01,212300.0
1985-08-01,212800.0
1985-09-01,214700.0
1985-10-01,216000
1985-11-01,219500.0
1985-12-01,224700.0
1986-01-01,221700.0
1986-02-01,217800.0
1986-03-01,221400.0
1986-04-01,225100.0
1986-05-01,226400.0
1986-06-01,230100.0
1986-07-01,233000.0
1986-08-01,233200.0
1986-09-01,235100.0
1986-10-01,237000.0
1986-11-01,242000.0
1986-12-01,248600.0
1987-01-01,247000.0
1987-02-01,242500.0
1987-03-01,244800.0
1987-04-01,249600.0
1987-05-01,250600.0
1987-06-01,252900.0
1987-07-01,254800.0
1987-08-01,254600.0
1987-09-01,256300.0
1987-10-01,258100.0
1987-11-01,262400.0
1987-12-01,266900.0
1988-01-01,266300.0
1988-02-01,260700.0
1988-03-01,263400.0
1988-04-01,268400.0
1988-05-01,268800.0
1988-06-01,273100.0
1988-07-01,275800.0
1988-08-01,274800.0
1988-09-01,275200.0
1988-10-01,275400.0
1988-11-01,279200.0
