DATE,GDPC1_PC1,CES0500000003_PC1
2020-01-01,0.63079,3.22503
2020-04-01,-9.08374,6.59328
2020-07-01,-2.88751,4.85114
2020-10-01,-2.26292,4.88523
2021-01-01,0.54698,4.95453
2021-04-01,12.22668,2.24517
2021-07-01,4.94656,4.46833
2021-10-01,5.53348,5.18519
2022-01-01,3.56975,5.42042
